figure_id,row_key,column_key,distinct_settlement_records,evidence_ids
F_S22_6,CR-2009-10,elections_referendum_or_roadmap,9,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10
F_S22_6,CR-2009-10,election_timetable,9,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10
F_S22_6,CR-2009-10,transition_institution_design,1,CR-2009-10 / BARG-2009-04
F_S22_6,CR-2009-10,executive_power_sharing,1,CR-2009-10 / BARG-2009-09
F_S22_6,CR-2009-10,inclusive_government,2,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2010-01
F_S22_6,CR-2009-10,leader_status_or_return,1,CR-2009-10 / BARG-2009-06
F_S22_6,CR-2009-10,amnesty_or_accountability,2,CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-07
F_S22_6,CR-2009-10,return_to_constitutional_order,1,CR-2009-10 / BARG-2010-01
F_S22_8,CR-2009-10,transition_to_new_constitution,10,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10; CR-2009-10 / BARG-2010-01
F_S22_8,CR-2009-10,new constitution,10,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10; CR-2009-10 / BARG-2010-01
F_S22_8,CR-2009-10,transition charter,10,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10; CR-2009-10 / BARG-2010-01
F_S22_8,CR-2009-10,roadmap / election exit,10,CR-2009-10 / BARG-2009-02; CR-2009-10 / BARG-2009-03; CR-2009-10 / BARG-2009-04; CR-2009-10 / BARG-2009-05; CR-2009-10 / BARG-2009-06; CR-2009-10 / BARG-2009-07; CR-2009-10 / BARG-2009-08; CR-2009-10 / BARG-2009-09; CR-2009-10 / BARG-2009-10; CR-2009-10 / BARG-2010-01
