crisis_id,actor_id,actor_name,primary_entry_route,constitutional_eligibility_assessment,office_evidence,bargain_evidence,resource_profile,military_role,civil_moral_role,support_networks,outcome_status,source_ids
CR-1958-60,PER_001,Philibert Tsiranana,office_spell_or_constitutional_office,ordinary formal constitutional eligibility/access coded,HOS_000; HOS_001; EOG_001; EOG_002; EOG_002A; President of the Provisional Government of the Malagasy Republic; President; Vice-President of the Government Council / Executive Council; Prime Minister / President of the Provisional Government; President of the Republic exercising head-of-government authority; Provisional Head of State / Head of Government; Constitutional President; Equivalent Head of Government; Prime Minister / Equivalent Head of Government; Autonomy / provisional government transition; Election / independence transition,,professional:Teacher / professor; Politician; Professor of French and Mathematics; party/institution:PSD; professional:Teacher; Teacher / professor of French and mathematics,,,,President of the Provisional Government of the Malagasy Republic; President; Vice-President of the Government Council / Executive Council; Prime Minister / President of the Provisional Government; President of the Republic exercising head-of-government authority; Philibert Tsiranana as president after 1959 Constitution; independence in 1960,ELTSRC_HOS; SRC_ARCHONTOLOGY_HOS; ELTSRC_PMVP; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975
CR-1958-60,PER_016,Philibert Raondry,office_spell_or_constitutional_office,ordinary formal constitutional eligibility/access coded,VP_001; Vice President; Presidential/constitutional appointment; 1959-05-01; President Philibert Tsiranana,,professional:Teacher; Civil servant / diplomat; Civil servant / teacher; party/institution:UDSM,,,,Vice President; Philibert Tsiranana as president after 1959 Constitution; independence in 1960,ELTSRC_PMVP; SRC_ARCHONTOLOGY_HOS; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975
CR-1958-60,PER_017,Calvin Tsiebo,office_spell_or_constitutional_office,ordinary formal constitutional eligibility/access coded,VP_002; Vice President; Presidential appointment; 1960-06-01; President Philibert Tsiranana,,professional:Civil servant; Politician; Civil servant / provincial assembly member; party/institution:PSD,,,,Vice President; Philibert Tsiranana as president after 1959 Constitution; independence in 1960,ELTSRC_PMVP; SRC_ARCHONTOLOGY_HOS; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975
CR-1971,PER_017,Calvin Tsiebo,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",VP_004; First Vice President; Vice President; Presidential appointment; 1971-02-01; President Philibert Tsiranana,,professional:Civil servant; Politician; Civil servant / provincial assembly member; party/institution:PSD,,,,First Vice President; Philibert Tsiranana,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1971,PER_019,Jacques Rabemananjara,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",VP_005; Second Vice President; Vice President; Presidential appointment; 1971-02-01; President Philibert Tsiranana,,professional:Writer / poet; Politician; Journalist / writer / nationalist politician; party/institution:PSD-aligned government,,,,Second Vice President; Philibert Tsiranana,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1971,PER_020,Victor Miadana,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",VP_006; Third Vice President; Vice President; Presidential appointment; 1971-02-01; President Philibert Tsiranana,,professional:Teacher; Politician; Teacher / minister of finance; party/institution:PSD,,,,Third Vice President; Philibert Tsiranana,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1971,PER_021,Alfred Ramangasoavina,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",VP_007; Fourth Vice President; Vice President; Presidential appointment; 1971-02-01; President Philibert Tsiranana,,professional:Lawyer; Politician; Minister / lawyer; party/institution:PSD,,,,Fourth Vice President; Philibert Tsiranana,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1971,PER_022,Eugène Bernard Lechat,office_spell_or_constitutional_office,"office access is legally authorized in coding, but no separate eligibility dispute is coded",VP_008; Fifth Vice President; Vice President; Presidential appointment; 1971-02-01; President Philibert Tsiranana,,professional:Administrator; Politician; Director of regional schools / administrator; party/institution:PSD,,,,Fifth Vice President; Philibert Tsiranana,ELTSRC_PMVP; SRC_MARCUS_2004
CR-1972,PER_002,Gabriel Ramanantsoa,military_transfer_gatekeeping_or_direct_rule,exceptional or transitional legal authorization coded,HOS_002; EOG_003; Head of Government; Prime Minister; Military Head of State / Head of Government; Military transition / transfer of power; Military transition; 1972-10-11; 1972-05-18; Tsiranana transfer + referendum-backed transition; Tsiranana / military transfer,BARG-1972-01; BARG-1972-02; BARG-1973-01; Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa; 1972 referendum and Loi constitutionnelle provisoire; Revised Franco-Malagasy cooperation accords; domestic executive-transfer arrangement; domestic constitutional-political settlement; international bilateral treaty package; recipient_or_transfer_actor,military/security; professional:Army officer; General; Career officer in French and Malagasy armies; party/institution:Military; military link; military faction; Politician; General / Minister of Defense,executive_holder_or_backer; coercion_security_and_control_of_armed_force,,,Head of Government; Prime Minister; Gabriel Ramanantsoa,ELTSRC_HOS; SRC_MARCUS_2004; ELTSRC_PMVP; SRC_BARG_1972_01; SRC_BARG_1972_02; SRC_BARG_1973_01; DISCSRC_1972_MJP_1975; SRC_IMODEV_1972
CR-1975,PER_003,Richard Ratsimandrava,military_transfer_gatekeeping_or_direct_rule,ordinary formal constitutional eligibility/access coded,HOS_003; EOG_003A; Head of Government / Military Head of State; Head of Government / Prime Minister-equivalent; Military Head of State; Equivalent Head of Government; Military succession; Military/constitutional appointment during transition; 1975-02-05; Armed Forces / Ramanantsoa resignation; Gabriel Ramanantsoa / Conseil Supérieur des Institutions,BARG-1975-01; BARG-1975-02; Ramanantsoa-Ratsimandrava executive transfer arrangement; Military Directorate / Directoire militaire after Ratsimandrava assassination; domestic executive-transfer arrangement; domestic military crisis arrangement; recipient_or_transfer_actor,military/security; professional:Army officer; Minister of Interior; Soldier / Interior Minister; party/institution:Military; military link; military faction; professional:Military officer,executive_holder_or_backer; coercion_security_and_control_of_armed_force,,,Head of Government / Military Head of State; Head of Government / Prime Minister-equivalent; Didier Ratsiraka,ELTSRC_HOS; SRC_BRITANNICA_RATSIMANDRAVA; ELTSRC_PMVP; SRC_BARG_1975_01; SRC_BARG_1975_02; SRC_MJP_1975
